# fixed mirror figure, mode=medial, layout=axicon
# generated 2026-08-14 by scripts/run_axicon_medial_buie.py: R = 4 FtFs/(Ft+Fs), the medial-power sphere; analytic, sun-independent
# spherical (R = 2 Ft) is the reference this competes against; see fixed_shapes_axicon_spherical.csv
heliostat,x_mm,y_mm,c3,c4,c5
201,53425.2688981994,-18135.4350584149,0.0,-9.902868564032671e-07,0.0
202,55335.3575990627,-11006.8869798295,0.0,-9.902868564032682e-07,0.0
203,56298.6429895466,-3690.00801333376,0.0,-9.902868564032678e-07,0.0
204,56298.6429895466,3690.00801333368,0.0,-9.902868564032678e-07,0.0
205,55335.3575990627,11006.8869798294,0.0,-9.902868564032686e-07,0.0
206,53425.2688981994,18135.435058414798,0.0,-9.902868564032678e-07,0.0
207,50601.0590342049,24953.6808150581,0.0,-9.90286856403268e-07,0.0
208,46911.0510208712,31344.962174488403,0.0,-9.902868564032678e-07,0.0
209,42418.3819183699,37199.922540647894,0.0,-9.902868564032676e-07,0.0
210,37199.922540647894,42418.38191836981,0.0,-9.902868564032682e-07,0.0
211,31344.962174488403,46911.0510208712,0.0,-9.902868564032678e-07,0.0
212,24953.6808150581,50601.0590342049,0.0,-9.90286856403268e-07,0.0
213,18135.435058414798,53425.2688981994,0.0,-9.902868564032678e-07,0.0
214,11006.8869798295,55335.3575990627,0.0,-9.902868564032682e-07,0.0
215,3690.00801333372,56298.6429895466,0.0,-9.902868564032678e-07,0.0
216,-3690.0080133337096,56298.6429895466,0.0,-9.902868564032678e-07,0.0
217,-11006.8869798295,55335.3575990627,0.0,-9.902868564032682e-07,0.0
218,-18135.435058414798,53425.2688981994,0.0,-9.902868564032678e-07,0.0
219,-24953.6808150581,50601.0590342049,0.0,-9.90286856403268e-07,0.0
220,-31344.962174488403,46911.0510208712,0.0,-9.902868564032678e-07,0.0
221,-37199.922540647894,42418.38191836981,0.0,-9.902868564032682e-07,0.0
222,-42418.3819183699,37199.922540647894,0.0,-9.902868564032676e-07,0.0
223,-46911.0510208712,31344.962174488403,0.0,-9.902868564032678e-07,0.0
224,-50601.0590342049,24953.6808150581,0.0,-9.90286856403268e-07,0.0
225,-53425.2688981994,18135.435058414798,0.0,-9.902868564032678e-07,0.0
226,-55335.3575990627,11006.8869798294,0.0,-9.902868564032686e-07,0.0
227,-56298.6429895466,3690.0080133337,0.0,-9.902868564032678e-07,0.0
228,-56298.6429895466,-3690.00801333376,0.0,-9.902868564032678e-07,0.0
229,-55335.3575990627,-11006.8869798295,0.0,-9.902868564032682e-07,0.0
230,-53425.2688981994,-18135.435058414798,0.0,-9.902868564032678e-07,0.0
231,-50601.0590342049,-24953.6808150582,0.0,-9.902868564032676e-07,0.0
232,-46911.0510208712,-31344.9621744885,0.0,-9.902868564032671e-07,0.0
233,-42418.38191836981,-37199.922540647894,0.0,-9.902868564032682e-07,0.0
234,-37199.922540647894,-42418.3819183699,0.0,-9.902868564032676e-07,0.0
235,-31344.962174488297,-46911.0510208712,0.0,-9.902868564032688e-07,0.0
236,-24953.6808150581,-50601.0590342049,0.0,-9.90286856403268e-07,0.0
237,-18135.4350584147,-53425.2688981994,0.0,-9.90286856403268e-07,0.0
238,-11006.8869798294,-55335.3575990628,0.0,-9.902868564032671e-07,0.0
239,-3690.00801333365,-56298.6429895466,0.0,-9.902868564032678e-07,0.0
240,-1.06334385736706e-10,-61998.056567465705,0.0,-9.262919666643848e-07,0.0
241,8092.370248794539,-61467.654598976704,0.0,-9.26291966664385e-07,0.0
242,16046.2777990034,-59885.5240182457,0.0,-9.262919666643853e-07,0.0
243,23725.629087202702,-57278.7355181585,0.0,-9.262919666643853e-07,0.0
244,30999.0282837327,-53691.89197269,0.0,-9.26291966664385e-07,0.0
245,37742.0255117738,-49186.365269363894,0.0,-9.262919666643853e-07,0.0
246,43839.2462192421,-43839.246219242195,0.0,-9.26291966664385e-07,0.0
247,49186.3652693638,-37742.0255117739,0.0,-9.262919666643854e-07,0.0
248,53691.891972689904,-30999.0282837329,0.0,-9.26291966664385e-07,0.0
249,57278.7355181585,-23725.6290872028,0.0,-9.26291966664385e-07,0.0
250,59885.5240182457,-16046.277799003601,0.0,-9.262919666643848e-07,0.0
251,61467.654598976704,-8092.37024879472,0.0,-9.262919666643848e-07,0.0
252,61998.056567465705,-5.50653359065706e-11,0.0,-9.262919666643848e-07,0.0
253,61467.654598976704,8092.37024879461,0.0,-9.262919666643848e-07,0.0
254,59885.5240182457,16046.2777990034,0.0,-9.262919666643853e-07,0.0
255,57278.7355181585,23725.629087202702,0.0,-9.262919666643853e-07,0.0
256,53691.891972689904,30999.0282837328,0.0,-9.262919666643854e-07,0.0
257,49186.365269363894,37742.0255117739,0.0,-9.262919666643848e-07,0.0
258,43839.246219242195,43839.2462192421,0.0,-9.26291966664385e-07,0.0
259,37742.0255117739,49186.3652693638,0.0,-9.262919666643854e-07,0.0
260,30999.0282837328,53691.891972689904,0.0,-9.262919666643854e-07,0.0
261,23725.629087202702,57278.7355181585,0.0,-9.262919666643853e-07,0.0
262,16046.277799003501,59885.5240182457,0.0,-9.26291966664385e-07,0.0
263,8092.370248794669,61467.654598976704,0.0,-9.262919666643848e-07,0.0
264,3.79628607643517e-12,61998.056567465705,0.0,-9.262919666643848e-07,0.0
265,-8092.37024879466,61467.654598976704,0.0,-9.262919666643848e-07,0.0
266,-16046.277799003501,59885.5240182457,0.0,-9.26291966664385e-07,0.0
267,-23725.629087202702,57278.7355181585,0.0,-9.262919666643853e-07,0.0
268,-30999.0282837328,53691.891972689904,0.0,-9.262919666643854e-07,0.0
269,-37742.0255117739,49186.3652693638,0.0,-9.262919666643854e-07,0.0
270,-43839.246219242195,43839.2462192421,0.0,-9.26291966664385e-07,0.0
271,-49186.365269363894,37742.0255117738,0.0,-9.26291966664385e-07,0.0
272,-53691.891972689904,30999.0282837328,0.0,-9.262919666643854e-07,0.0
273,-57278.7355181585,23725.629087202702,0.0,-9.262919666643853e-07,0.0
274,-59885.5240182457,16046.277799003501,0.0,-9.26291966664385e-07,0.0
275,-61467.654598976704,8092.3702487946,0.0,-9.262919666643848e-07,0.0
276,-61998.056567465705,-4.74727637537003e-11,0.0,-9.262919666643848e-07,0.0
277,-61467.654598976704,-8092.370248794699,0.0,-9.262919666643848e-07,0.0
278,-59885.5240182457,-16046.277799003501,0.0,-9.26291966664385e-07,0.0
279,-57278.7355181585,-23725.6290872028,0.0,-9.26291966664385e-07,0.0
280,-53691.891972689904,-30999.0282837329,0.0,-9.26291966664385e-07,0.0
281,-49186.3652693638,-37742.0255117739,0.0,-9.262919666643854e-07,0.0
282,-43839.2462192421,-43839.246219242195,0.0,-9.26291966664385e-07,0.0
283,-37742.0255117738,-49186.365269363894,0.0,-9.262919666643853e-07,0.0
284,-30999.0282837327,-53691.89197269,0.0,-9.26291966664385e-07,0.0
285,-23725.629087202702,-57278.7355181585,0.0,-9.262919666643853e-07,0.0
286,-16046.2777990034,-59885.5240182457,0.0,-9.262919666643853e-07,0.0
287,-8092.37024879455,-61467.654598976704,0.0,-9.262919666643848e-07,0.0
288,6.43975904510172e-11,-67829.008462311,0.0,-8.671677668803513e-07,0.0
289,5994.73486263315,-67563.58148371789,0.0,-8.671677668803513e-07,0.0
290,11942.5527970042,-66769.37787392529,0.0,-8.671677668803513e-07,0.0
291,17796.9040634271,-65452.6133530008,0.0,-8.671677668803519e-07,0.0
292,23511.970425619398,-63623.5933886562,0.0,-8.671677668803513e-07,0.0
293,29043.0237405235,-61296.6325419891,0.0,-8.671677668803519e-07,0.0
294,34346.7760166712,-58489.942436635,0.0,-8.671677668803513e-07,0.0
295,39381.7182014082,-55225.4892281193,0.0,-8.671677668803519e-07,0.0
296,44108.4450455123,-51528.8216889079,0.0,-8.671677668803522e-07,0.0
297,48489.963502695195,-47428.8712546223,0.0,-8.671677668803516e-07,0.0
298,52491.9822503472,-42957.7255963289,0.0,-8.671677668803513e-07,0.0
299,56083.1800656302,-38150.377491007195,0.0,-8.671677668803519e-07,0.0
300,59235.4509565138,-33044.4509556249,0.0,-8.671677668803516e-07,0.0
301,61924.12412927,-27679.9067881923,0.0,-8.671677668803516e-07,0.0
302,64128.1570708841,-22098.7298203375,0.0,-8.671677668803513e-07,0.0
303,65830.3002352497,-16344.600329073199,0.0,-8.671677668803513e-07,0.0
304,67017.2320442546,-10462.552179405799,0.0,-8.671677668803513e-07,0.0
305,67679.6631471917,-4498.6203732821,0.0,-8.671677668803519e-07,0.0
306,67812.4091225234,1500.51923671753,0.0,-8.671677668803513e-07,0.0
307,67414.4310530089,7487.9152492106905,0.0,-8.671677668803516e-07,0.0
308,66488.8436566409,13416.708172388,0.0,-8.671677668803511e-07,0.0
309,65042.890909753594,19240.4971630712,0.0,-8.671677668803513e-07,0.0
310,63087.889353086604,24913.703176223098,0.0,-8.671677668803519e-07,0.0
